id,name,description,category,url,homeImg,tags,submit,showPrice,price,salePrice,hot,star,traffic,like
52,There's An AI,300+ AI Tools,agent,https://theresanai.com/,,,TRUE,FALSE,-1,,,,80000,
53,Top AI.tools,18k+ AI Tools,agent,https://topai.tools/,,,TRUE,TRUE,47,,,,2800000,
54,TOOLPILOT,2k+ AI Tools,agent,https://www.toolpilot.ai/,,,TRUE,FALSE,0,,,,240000,
55,THATSMY.AI,5k+ AI Tools,agent,https://thatsmy.ai/,,,TRUE,FALSE,0,,,,15000,
56,The Next AI Tool,1k+ AI Tools,agent,https://thenextaitool.com/,,,TRUE,FALSE,0,,,,2000,
57,Victrays,1K+,agent,https://victrays.com/,,,TRUE,FALSE,-1,,,,4000,
58,Best Free AI Websites,1k+ AI Tools,agent,https://bestfreeaiwebsites.com/,,,TRUE,TRUE,150,,,,240000,
59,BestofAI,13k+ AI Tools,agent,https://bestofai.com/,,,TRUE,FALSE,-1,,,,200000,
60,AI Tool Hunt,18k+ AI Tools,tool,https://www.aitoolhunt.com/,,,TRUE,TRUE,25,,,,340000,
61,Easy With AI,1K+,tool,https://easywithai.com/free-ai-tools/,,,TRUE,TRUE,125,,,,1300000,
62,AI Tools,1k+ AI Tools,tool,https://aitools.neilpatel.com/,,,TRUE,FALSE,0,,,,22000,
63,Dang.ai,1K+,tool,https://dang.ai/,,,TRUE,FALSE,0,,,,100000,
64,DoMore.ai,2k+ AI Tools,agent,https://domore.ai/,,,TRUE,TRUE,30,,,,100000,
65,Supertools,1K+,tool,https://supertools.therundown.ai/,,,TRUE,FALSE,0,,,,260000,
66,DokeyAI,3k+ AI Tools,tool,https://dokeyai.com/,,,TRUE,FALSE,0,,,,5000,
67,stork,9k+ AI Tools,tool,https://www.stork.ai/,,,TRUE,FALSE,-1,,,,70000,
68,AITOOLNET,18k+ AI Tools,tool,https://www.aitoolnet.com/,,,TRUE,TRUE,10,,,,80000,
69,Aitools.fyi ,1K+,agent,https://aitools.fyi/,,,TRUE,TRUE,30,,,,170000,
71,Toolnest,13k+ AI Tools,tool,https://toolnest.ai/,,,TRUE,TRUE,7,,,,1000,
72,FindMyAITool,1k+ AI Tools,tool,https://findmyaitool.com/,,,TRUE,TRUE,80,,,,170000,
74,AI With Me,1k+ AI Tools,tool,https://aiwith.me/,,,TRUE,TRUE,17,,,,10000,
75,The AI Library,100+,tool,https://www.theailibrary.co/,,,TRUE,FALSE,0,,,,7700,
76,AI Center,100+,agent,https://aicenter.ai/,,,TRUE,TRUE,5,,,,196000,
77,Powerusers AI,2k+ AI Tools,agent,https://powerusers.ai/,,,TRUE,TRUE,69,,,,729000,
78,AIPURE,1K+,agent,https://aipure.ai/,,,TRUE,TRUE,70,,,,635000,
79,AI Tool Details,4k+ AI Tools,agent,https://chatgptdemo.com/,,,TRUE,FALSE,0,,,,43600,
80,WhatTheAI,12k+ AI Tools,tool,https://whattheai.tech/,,,TRUE,FALSE,-1,,,,15800,
81,1000.tools,1k+ AI Tools,tool,https://1000.tools/,,,TRUE,TRUE,6,,,,15000,
82,Digital Samaritan,100+,tool,https://www.digitalsamaritan.co/,,,TRUE,TRUE,49,,,,19000,
83,Tip Season,2k+ AI Tools,tool,https://tipseason.com/,,,TRUE,FALSE,0,,,,30000,
84,AI Lib,3k+ AI Tools,tool,https://ailib.ru/,,,TRUE,FALSE,0,,,,112000,
85,AIMonstr,3k+ AI Tools,tool,https://www.aimonstr.com/,,,TRUE,FALSE,-1,,,,500,
86,AI Valley,1K+,tool,https://aivalley.ai/,,,TRUE,FALSE,0,,,,97000,
87,funfun.tools,2K+,tool,https://www.funfun.tools/,,,TRUE,FALSE,-1,,,,125000,
88,AI Heron,13k+ AI Tools,tool,https://www.aiheron.com/,,,TRUE,FALSE,0,,,,2200,
89,AI ToolBoard,800+ AI Tools,tool,https://aitoolboard.com/,,,TRUE,TRUE,75,,,,6400,
90,aidude,1k+ AI Tools,tool,https://aidude.info/,,,TRUE,TRUE,200,,,,340,
91,AIGO.tools,15k+ AI Tools,tool,https://aigo.tools/,,,TRUE,TRUE,12,,,,6400,
92,AI Search,2K+,tool,https://ai-search.io/,,,TRUE,TRUE,299,,,,60000,
93,AITRENDZ.xyz,3K+,tool,https://aitrendz.xyz/,,,TRUE,TRUE,15,,,,6300,
94,SEOFAI,4K+,tool,https://seofai.com/,,,TRUE,TRUE,29,,,,214000,
95,tools ai,1k+ AI Tools,tool,https://www.tools-ai.online/,,,TRUE,FALSE,0,,,,80000,
96,Aihunter,2k+ AI Tools,tool,https://ai-hunter.io/,,,TRUE,FALSE,0,,,,18000,
97,The AI Warehouse,1k+ AI Tools,agent,https://www.thewarehouse.ai/,,,TRUE,FALSE,0,,,,6100,
98,NEXTPEDIA,800+ AI Tools,tool,https://nextpedia.io/,,,FALSE,FALSE,-1,,,,481,
99,SaaSBaba,1k+ AI Tools,tool,https://saasbaba.com/,,,TRUE,FALSE,0,,,,4200,
100,AI Wiki Tools,2k+ AI Tools,tool,https://aiwikitools.com/,,,TRUE,FALSE,0,,,,3200,
